2026-02-28T18:16:06+08:00 | what=run_rules | why=manual_apply | trigger=manual_rule | result=ok | details=scope=backups;rule=all;deleted=0;errors=0
2026-02-28T18:16:39+08:00 | what=run_rules | why=manual_apply | trigger=manual_rule | result=ok | details=scope=backups;rule=all;deleted=0;errors=0
2026-02-28T18:27:21+08:00 | what=ack_non_normal | why=manual_ack | trigger=manual | result=ok | details=scope=stale_worlds
2026-02-28T18:27:40+08:00 | what=run_rules | why=manual_apply | trigger=manual | result=invalid_password | details=scope=stale_worlds
2026-02-28T18:27:50+08:00 | what=run_rules | why=manual_apply_dry_run | trigger=manual_rule | result=dry_run | details=scope=stale_worlds;rule=all;requested=0;capped=0
2026-02-28T18:31:00+08:00 | what=run_rules | why=manual_apply | trigger=manual | result=invalid_password | details=scope=backups
2026-02-28T18:31:00+08:00 | what=run_rules | why=manual_apply | trigger=manual | result=invalid_password | details=scope=backups
2026-02-28T18:31:10+08:00 | what=run_rules | why=manual_apply_dry_run | trigger=manual_rule | result=dry_run | details=scope=backups;rule=all;requested=0;capped=0
2026-02-28T18:35:44+08:00 | what=run_rules | why=manual_apply | trigger=manual | result=invalid_password | details=scope=backups
2026-02-28T18:35:45+08:00 | what=run_rules | why=manual_apply | trigger=manual | result=invalid_password | details=scope=backups
2026-02-28T18:36:03+08:00 | what=run_rules | why=manual_apply_dry_run | trigger=manual_rule | result=dry_run | details=scope=backups;rule=all;requested=0;capped=0
2026-02-28T18:36:45+08:00 | what=run_rules | why=manual_apply | trigger=manual_rule | result=ok | details=scope=backups;rule=all;deleted=0;errors=0
2026-02-28T18:37:03+08:00 | what=confirm_password | why=open_rules_edit | trigger=manual | result=ok | details=scope=backups;action=open_rules_edit
2026-02-28T18:37:31+08:00 | what=save_rules | why=manual_save | trigger=manual | result=invalid_password | details=scope=backups
2026-02-28T18:37:35+08:00 | what=save_rules | why=manual_save | trigger=manual | result=invalid_password | details=scope=backups
2026-02-28T18:37:43+08:00 | what=save_rules | why=manual_save | trigger=manual | result=invalid_password | details=scope=backups
2026-02-28T18:37:44+08:00 | what=save_rules | why=manual_save | trigger=manual | result=invalid_password | details=scope=backups
2026-02-28T18:37:59+08:00 | what=save_rules | why=manual_save | trigger=manual | result=invalid_password | details=scope=backups
2026-02-28T18:38:03+08:00 | what=confirm_password | why=open_rules_edit | trigger=manual | result=invalid_password | details=scope=backups;action=open_rules_edit
2026-02-28T18:38:15+08:00 | what=run_rules | why=manual_apply_dry_run | trigger=manual_rule | result=dry_run | details=scope=backups;rule=all;requested=0;capped=0
2026-02-28T18:38:20+08:00 | what=run_rules | why=manual_apply | trigger=manual_rule | result=ok | details=scope=backups;rule=all;deleted=0;errors=0
